ward,poi,fclass,distance_m,population,flow_score
Ara 2,sports_centre_13989834,sports_centre,70544.04363847515,55520.21999879984,47.94709395893269
Ara 2,Zalika Garden,park,72244.25197762183,55520.21999879984,40.45043348153426
Ara 2,post_office_211555491,post_office,72774.68295882836,55520.21999879984,38.360729299165136
Ara 2,Embassy of Niger,embassy,73307.95896106203,55520.21999879984,36.36863260761785
Ara 2,Embassy of China,embassy,73240.10512925124,55520.21999879984,36.61624684432904
Ara 2,British High Commission,embassy,73069.59370246767,55520.21999879984,37.24594900769693
Ara 2,Embassy of Brazil,embassy,72809.6751104504,55520.21999879984,38.226731433977186
Ara 2,High Commission of Sierra Leone,embassy,72538.45802276854,55520.21999879984,39.27769322891631
Ara 2,Embassy of Angola,embassy,72809.6751104504,55520.21999879984,38.226731433977186
Ara 2,Embassy of Argentina,embassy,76029.86488917883,55520.21999879984,27.702317356385553
Ara 2,Embassy of the Czech Republic in Abuja,embassy,75333.16797535957,55520.21999879984,29.70114983823362
Ara 2,ECOWAS Secretariat,embassy,75774.11654226088,55520.21999879984,28.419936930184306
Ara 2,National Hospital Abuja,hospital,71501.96917520236,55520.21999879984,43.56724646465317
Ara 2,Embassy of the United States,embassy,73638.50090401534,55520.21999879984,35.186147467257705
Ara 2,High Commission of Pakistan in Abuja,embassy,71902.83223442406,55520.21999879984,41.85533777677197
Ara 2,Trademore Market,market_place,57425.30312865197,55520.21999879984,178.03359079543276
Ara 2,NAFOWA Mini Market,market_place,63773.425794868424,55520.21999879984,94.36403149076432
Ara 2,Nigerian Air Force (NAF) Hospital,hospital,65719.42654683675,55520.21999879984,77.67705435416345
Ara 2,Air Force Girls Comprehensive School,school,65402.6645683978,55520.21999879984,80.17695270741063
Ara 2,Junior Secondary School Galadimawa,school,63866.47459378128,55520.21999879984,93.4900579269726
Ara 2,Premiere Academy (School Number 1),school,63331.77832384792,55520.21999879984,98.62499468770378
Ara 2,Nabel International College,school,63950.679169707866,55520.21999879984,92.7061339899438
Ara 2,Faith Field Academy,school,64158.96478216924,55520.21999879984,90.79516901128703
Ara 2,Customary Court Galadimawa,courthouse,64223.511101516946,55520.21999879984,90.21100691764155
Ara 2,courthouse_927088399,courthouse,64223.511101516946,55520.21999879984,90.21100691764155
Ara 2,Destiny Christian Academy,school,64089.01486139705,55520.21999879984,91.43250698747876
Ara 2,Novare Gateway,mall,66380.98844939371,55520.21999879984,72.70453140196607
Ara 2,Amac Primary Health Care Galadimawa,clinic,63926.87002224721,55520.21999879984,92.92712236425663
Ara 2,Green Access Pharmacy Ltd.,pharmacy,64430.53914287034,55520.21999879984,88.36258587983257
Ara 2,community_centre_1005847354,community_centre,64065.65266520717,55520.21999879984,91.64636311428825
Ara 2,Chief Palace Galadimawa,community_centre,64036.53132137536,55520.21999879984,91.91363862161784
Ara 2,LEA Primary School Galadimawa,school,63985.342677507404,55520.21999879984,92.38533832644274
Ara 2,African univeristy of science and technology,school,64216.30049069687,55520.21999879984,90.27607802119938
Ara 2,Africa University of Science and Technology,university,64105.51362223304,55520.21999879984,91.28177905633233
Ara 2,Baze university,university,67946.64739827199,55520.21999879984,62.167839603851355
Ara 2,Baze university,university,67359.16089027333,55520.21999879984,65.92953160426669
Ara 2,"LEA Primary, Junior and Senior Secondary School Kuchigoro",school,66757.30385817256,55520.21999879984,70.01938777184611
Ara 2,"FEDERAL MEDICAL CENTER, JABI",hospital,66990.99721359811,55520.21999879984,68.40205283101089
Ara 2,Chief Palace Kuchingoro,community_centre,66950.53969522484,55520.21999879984,68.6793511237302
Ara 2,ECWA Bethel School,school,67081.50933335163,55520.21999879984,67.78572481672809
Ara 2,Women Center Kuchigoro,community_centre,67132.67358216898,55520.21999879984,67.43978997711062
Ara 2,MJ Salasi International School,school,67541.18719909056,55520.21999879984,64.74029711067462
Ara 2,National Open University of Nigeria,university,67413.1622561337,55520.21999879984,65.57446270169649
Ara 2,International Community School,school,71630.30832299261,55520.21999879984,43.01168080309783
Ara 2,Nizamiye Hospital,hospital,73632.07348395095,55520.21999879984,35.208770351839945
Ara 2,Art & Craft Market,market_place,73076.55835209491,55520.21999879984,37.22001754043702
Ara 2,park_472382164,park,72718.85504285799,55520.21999879984,38.575488175585775
Ara 2,park_498323521,park,72978.98956387311,55520.21999879984,37.58494612834931
Ara 2,park_498323520,park,73621.47526522206,55520.21999879984,35.246105157403505
Ara 2,Arewa Specialist Hospital,hospital,73250.46851375066,55520.21999879984,36.57831967591763
Ara 2,Windsor Locks School,school,73660.12686383561,55520.21999879984,35.11013626650489
Ara 2,Hilltop Park,park,74700.463527863,55520.21999879984,31.641077740081997
Ara 2,mall_424362497,mall,74909.1820476838,55520.21999879984,30.987514116592862
Ara 2,Gwarinpa General Hospital,hospital,74479.1000575286,55520.21999879984,32.34930548490003
Ara 2,Bakan Gizo Pharmacy & Stores,supermarket,75002.63862097137,55520.21999879984,30.699264467417805
Ara 2,Peace Care Clinic,hospital,76390.0055774251,55520.21999879984,26.722395589484623
Ara 2,St Jude Women`s Clinic,hospital,76460.19731341404,55520.21999879984,26.535483208500374
Ara 2,Park 24,park,77763.69882462015,55520.21999879984,23.292529229375575
Ara 2,Big Ideas Supermarket and Pharmacy,supermarket,80627.2806924632,55520.21999879984,17.492539722066688
Ara 2,"LEA Primary and Secondary School, Galadinma",school,80932.34330546255,55520.21999879984,16.96696515117829
Ara 2,St Raphael Children`s Hospital,hospital,81125.3537730115,55520.21999879984,16.642625083725473
Ara 2,Cok Best Mall,mall,88692.14120335277,55520.21999879984,7.809089981059579
Ara 2,park_843331857,park,90921.27850686679,55520.21999879984,6.24870790390598
Ara 2,park_843331826,park,91040.86403184682,55520.21999879984,6.174427431076099
Ara 2,park_843331824,park,90921.27850686679,55520.21999879984,6.24870790390598
Ara 2,park_843331762,park,90781.04232918155,55520.21999879984,6.336954718670155
Ara 2,park_843331828,park,90995.48738362826,55520.21999879984,6.2025085764544725
Ara 2,park_843331827,park,91143.62524990916,55520.21999879984,6.111303154573454
Ara 2,park_843331770,park,90941.3519139343,55520.21999879984,6.2361771990704336
Ara 2,park_843331791,park,90941.3519139343,55520.21999879984,6.2361771990704336
Ara 2,park_843331829,park,90995.48738362826,55520.21999879984,6.2025085764544725
Ara 2,park_843331764,park,90781.04232918155,55520.21999879984,6.336954718670155
Ara 2,embassy_564467215,embassy,73307.95896106203,55520.21999879984,36.36863260761785
Ara 2,High Commission of Ghana,embassy,73026.66993866685,55520.21999879984,37.40616624983082
Ara 2,sports_centre_12218109,sports_centre,73010.02401925795,55520.21999879984,37.46848410522023
Ara 2,Sportfield,park,73010.02401925795,55520.21999879984,37.46848410522023
Ara 2,High Commission of Canada,embassy,73365.63795693216,55520.21999879984,36.159465793103074
Ara 2,H-Medix,mall,75825.24223062178,55520.21999879984,28.275008839413303
Ara 2,Asokoro District Hospital,hospital,75910.37828184657,55520.21999879984,28.03530838464812
Ara 2,"Asokor District Hospital, ASOKORO",hospital,76251.1686555862,55520.21999879984,27.09598852791238
Ara 2,High Commission of India in Abuja,embassy,72752.24452763672,55520.21999879984,38.446901399831546
Ara 2,Embassy of France,embassy,72447.77418748663,55520.21999879984,39.63549832009391
Ara 2,High Commission of South Africa in Abuja,embassy,72006.8098210044,55520.21999879984,41.422390815631886
Ara 2,RUSSIAN EMBASSY,embassy,73330.84251895189,55520.21999879984,36.28550338754471
Ara 2,Embassy of the Russian Federation,embassy,73330.84251895189,55520.21999879984,36.28550338754471
Ara 2,park_681586237,park,74399.48882995124,55520.21999879984,32.60787014384859
Ara 2,Divine Mercy Secondary School,school,74936.9190421088,55520.21999879984,30.901683155635233
Ara 2,National Defence College,college,73776.74773284812,55520.21999879984,34.70305711616177
Ara 2,Grand Square,mall,74216.3396988674,55520.21999879984,33.210582920713215
Ara 2,Ceddi Plaza,mall,74740.15369269511,55520.21999879984,31.515742673991195
Ara 2,All Saints' School,school,75114.99950578666,55520.21999879984,30.356255464024027
Ara 2,Zuma,mall,75438.87886425368,55520.21999879984,29.38883003181236
Ara 2,Intercontinental Plaza,mall,75346.99593211607,55520.21999879984,29.66010759973025
Ara 2,hospital_12167605,hospital,75235.3669807298,55520.21999879984,29.993055142538026
Ara 2,Wuse General Hospital,hospital,75235.3669807298,55520.21999879984,29.993055142538026
Ara 2,Embassy of Israel,embassy,76695.7160194972,55520.21999879984,25.91782499510923
Ara 2,sports_centre_188746993,sports_centre,75619.06332480074,55520.21999879984,28.864031211438114
Ara 2,courthouse_2838256,courthouse,75428.85872025388,55520.21999879984,29.41829282130735
Ara 2,park_12181852,park,75993.95808588545,55520.21999879984,27.801966319115014
Ara 2,Novare Central Mall,mall,74911.87831146477,55520.21999879984,30.979160191665265
Ara 2,Prince Ebeano Supermarket,supermarket,76140.89164906702,55520.21999879984,27.396448625361156
Ara 2,Central Park,park,75993.95808588545,55520.21999879984,27.801966319115014
Ara 2,Durban Street Neighbourhood Park,park,77553.3631310003,55520.21999879984,23.787643010046004
Ara 2,Febson Mall,mall,75583.34921159572,55520.21999879984,28.967300838652992
Ara 2,Wuse Shopping Plaza,mall,75607.86943617306,55520.21999879984,28.89635937702933
Ara 2,Wuse Shopping Plaza,mall,75607.86943617306,55520.21999879984,28.89635937702933
Ara 2,Wuse Shopping Plaza,mall,75624.01800500507,55520.21999879984,28.8497335493417
Ara 2,park_12234438,park,74873.65228132668,55520.21999879984,31.097807849750723
Ara 2,Berger Park Wuse,park,74969.0554315112,55520.21999879984,30.802535700716863
Ara 2,Silverbird Cinema & Shopping Centre,mall,76916.51679305782,55520.21999879984,25.351829026507016
Ara 2,Harrow Park,park,77592.28416342831,55520.21999879984,23.695238987194745
Ara 2,Chocolate Mall,mall,76944.44933247194,55520.21999879984,25.28111373901276
Ara 2,Limi Children`s Hospital,hospital,77096.87079300676,55520.21999879984,24.898697139492445
Ara 2,park_896977881,park,76986.8963588448,55520.21999879984,25.174030358186958
Ara 2,Millennium Park,park,76796.8367281872,55520.21999879984,25.657062757097897
Ara 2,Embassy of Mexico,embassy,78047.57482309313,55520.21999879984,22.64060725919622
Ara 2,Embassy of Indonesia,embassy,78036.84121623576,55520.21999879984,22.664921843754644
Ara 2,Wuse Market,market_place,75876.68579323454,55520.21999879984,28.129925620496998
Ara 2,Eden Park & Garden,park,75029.63229188304,55520.21999879984,30.61650762898575
Ara 2,Childcare and Wellness Clinic,hospital,75620.47323649132,55520.21999879984,28.85996192480734
Ara 2,Christian Community School,school,77197.60096976007,55520.21999879984,24.649151074104
Ara 2,Schatz Park,park,77499.15570815017,55520.21999879984,23.916939818099276
Ara 2,H-Medix,supermarket,77262.27514685041,55520.21999879984,24.49024911448066
Ara 2,4U Supermarket,supermarket,77462.25958674453,55520.21999879984,24.00534704351098
Ara 2,Unity Fountain,park,78002.53932852556,55520.21999879984,22.742800296695457
Ara 2,Shagari Park,park,78002.53932852556,55520.21999879984,22.742800296695457
Ara 2,Discovery Mall,mall,77443.39330309075,55520.21999879984,24.0506789609586
Ara 2,public_building_217303273,public_building,78218.8079306962,55520.21999879984,22.256225441881313
Ara 2,Embassy of Spain,embassy,78068.65760701695,55520.21999879984,22.59292483769245
Ara 2,Embassy of Japan,embassy,78002.62666838327,55520.21999879984,22.742601662268708
Ara 2,mall_1087204142,mall,78058.5118240228,55520.21999879984,22.615858761116314
Ara 2,Apostolic Nunciature,embassy,78425.07723601596,55520.21999879984,21.801850120038587
Ara 2,Federal Road Maintenance Agency (FERMA),public_building,77927.27436738352,55520.21999879984,22.914619682621556
Ara 2,park_12195280,park,77808.89673049442,55520.21999879984,23.18748943276641
Ara 2,Ambassade de Suisse,embassy,78296.86772730495,55520.21999879984,22.08317011068729
Ara 2,Nigeria National Merit Award,public_building,78475.9296162581,55520.21999879984,21.69126393964455
Ara 2,National Universities Commission,public_building,78475.9296162581,55520.21999879984,21.69126393964455
Ara 2,Chinese Economic Consulate,embassy,78744.92271839814,55520.21999879984,21.11556161286872
Ara 2,DIFF Hospital,hospital,79073.44281669636,55520.21999879984,20.433143748506037
Ara 2,Embassy of Iran,embassy,78406.94304273017,55520.21999879984,21.841421885703134
Ara 2,Embassy of Lebanon,embassy,78274.3174284343,55520.21999879984,22.133024509741528
Ara 2,Embassy of the Republic of Korea in Abuja,embassy,78817.15543202605,55520.21999879984,20.96358771648555
Ara 2,park_12195290,park,78211.48212363725,55520.21999879984,22.272535896858948
Ara 2,embassy_793899711,embassy,78891.05320319465,55520.21999879984,20.809242466572424
Ara 2,Druz Resort,park,78211.48212363725,55520.21999879984,22.272535896858948
Ara 2,Pyakasa Government Science Secondary School,school,78967.76011809772,55520.21999879984,20.650231827915643
Ara 2,FCT Farmers Market,market_place,79105.41151039355,55520.21999879984,20.36792595904979
Ara 2,FCT Farmers Market,market_place,79105.41151039355,55520.21999879984,20.36792595904979
Ara 2,Embassy of Venezuela,embassy,79105.41151039355,55520.21999879984,20.36792595904979
Ara 2,Maitama Amusement Park,park,78833.42295762787,55520.21999879984,20.929512869683695
Ara 2,library_899488909,library,79131.99077949314,55520.21999879984,20.313861382218604
Ara 2,The Springhall School,school,80325.32501226156,55520.21999879984,18.028792377447047
Ara 2,The Springhall School,school,80325.32501226156,55520.21999879984,18.028792377447047
Ara 2,Embassy of the United Arab Emirates in Abuja,embassy,80530.97503292798,55520.21999879984,17.66181658722579
Ara 2,Residence of the U.S. Ambassador,embassy,79569.80786286383,55520.21999879984,19.443673969973382
Ara 2,Residence of the British High Commissioner,embassy,79644.40714987174,55520.21999879984,19.299165231085446
Ara 2,The Centagon International School,school,79920.40564945174,55520.21999879984,18.77379459154682
Ara 2,High Commission of India,embassy,80023.71141438333,55520.21999879984,18.580848806986374
Ara 2,Embassy of the Republic of Benin,embassy,80414.66022080873,55520.21999879984,17.868449066300546
Ara 2,Embassy of Tunisia,embassy,80524.530496066,55520.21999879984,17.673202478476096
Ara 2,Landmark Plaza,mall,79990.0274725172,55520.21999879984,18.643541958436813
Ara 2,Landmark Plaza,mall,79984.5392867327,55520.21999879984,18.653776688879937
Ara 2,Embassy of Portugal,embassy,80190.71432064299,55520.21999879984,18.273119964474954
Ara 2,Embassy of Indonesia,embassy,80282.86751323495,55520.21999879984,18.105500848188413
Ara 2,embassy_902610366,embassy,80970.0145980529,55520.21999879984,16.90316864061707
Ara 2,Embassy of the Federal Republic of Germany in Abuja,embassy,80493.6217227207,55520.21999879984,17.727912687161123
Ara 2,Abuja Clinics Nigeria,hospital,80637.85850223221,55520.21999879984,17.474046229067923
Ara 2,Embassy of the Philippines,embassy,80674.1386933343,55520.21999879984,17.4107649177314
Ara 2,Embassy of the Republic of Poland,embassy,81133.37339264607,55520.21999879984,16.62928368179972
Ara 2,High Commission of Botswana in Abuja,embassy,80752.42376603131,55520.21999879984,17.274996742460086
Ara 2,Embassy of Hungary,embassy,81018.89915551328,55520.21999879984,16.820739887555302
Ara 2,Park 'N' Shop,mall,77352.85976984298,55520.21999879984,24.26940687185457
Ara 2,Migration Health Assessment Center - Abuja,hospital,77983.01200964025,55520.21999879984,22.78725427729619
Ara 2,TEENEE TODDS DAY NURSERY,school,80857.24606434231,55520.21999879984,17.094862012481947
Ara 2,Kubwa General Hospital,hospital,89325.36552981859,55520.21999879984,7.32993028328556
Ara 2,park_539327740,park,88990.32720255923,55520.21999879984,7.579671321476122
Ara 2,Veritas University Abuja,university,106208.65713235077,55520.21999879984,1.3547769719700908
Ara 2,pitch_563948803,pitch,72385.5117208707,55520.21999879984,39.88304856391601
Ara 2,Stella Maris Football Pitch,pitch,75595.0590566263,55520.21999879984,28.933400430575464
Ara 2,pitch_674658120,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_674658116,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_1320040590,pitch,73747.00376977553,55520.21999879984,34.80643142296391
Ara 2,pitch_1087154450,pitch,79039.24325281988,55520.21999879984,20.5031438393901
Ara 2,pitch_634881009,pitch,70340.1125956648,55520.21999879984,48.93492225423694
Ara 2,pitch_499970216,pitch,80880.10367837377,55520.21999879984,17.05583186050261
Ara 2,pitch_1242528088,pitch,64826.70212999532,55520.21999879984,84.93042099020305
Ara 2,pitch_674658118,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_421795425,pitch,72555.7092990792,55520.21999879984,39.20999260793864
Ara 2,pitch_674658107,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_674658140,pitch,70030.23539702735,55520.21999879984,50.475043094846804
Ara 2,pitch_886275258,pitch,69472.64893212974,55520.21999879984,53.36940621553664
Ara 2,pitch_897206062,pitch,77027.79729449158,55520.21999879984,25.071276498318642
Ara 2,pitch_564086181,pitch,77050.15136360524,55520.21999879984,25.015294588044117
Ara 2,pitch_674658136,pitch,69008.0643954413,55520.21999879984,55.90736463828773
Ara 2,pitch_688023838,pitch,74684.27544483119,55520.21999879984,31.692340060189352
Ara 2,pitch_674658139,pitch,70030.23539702735,55520.21999879984,50.475043094846804
Ara 2,pitch_793899698,pitch,73638.50090401534,55520.21999879984,35.186147467257705
Ara 2,pitch_674658121,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_674658126,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_674658088,pitch,69008.0643954413,55520.21999879984,55.90736463828773
Ara 2,pitch_674658125,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_1087155722,pitch,77945.12296065303,55520.21999879984,22.873756788064913
Ara 2,pitch_1242528087,pitch,64719.84548377296,55520.21999879984,85.84282512565585
Ara 2,pitch_1004291981,pitch,83903.53636015016,55520.21999879984,12.605697845129214
Ara 2,pitch_999889093,pitch,77553.3631310003,55520.21999879984,23.787643010046004
Ara 2,pitch_999889094,pitch,77553.3631310003,55520.21999879984,23.787643010046004
Ara 2,pitch_1101544595,pitch,72100.58334820172,55520.21999879984,41.035774000663174
Ara 2,pitch_674658124,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_895642067,pitch,81244.13172188967,55520.21999879984,16.446116749739033
Ara 2,pitch_887859754,pitch,69721.84939364543,55520.21999879984,52.05587278205955
Ara 2,pitch_674658131,pitch,70030.23539702735,55520.21999879984,50.475043094846804
Ara 2,pitch_688023839,pitch,74684.27544483119,55520.21999879984,31.692340060189352
Ara 2,pitch_564052809,pitch,78476.95570722764,55520.21999879984,21.689038332825614
Ara 2,pitch_421795427,pitch,72555.7092990792,55520.21999879984,39.20999260793864
Ara 2,pitch_914231300,pitch,72313.44968241971,55520.21999879984,40.17149198465257
Ara 2,pitch_1320040376,pitch,73747.00376977553,55520.21999879984,34.80643142296391
Ara 2,pitch_1154804436,pitch,66757.30385817256,55520.21999879984,70.01938777184611
Ara 2,pitch_674658114,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_421795423,pitch,72555.7092990792,55520.21999879984,39.20999260793864
Ara 2,Multifunctional Pitch,pitch,63121.07465799992,55520.21999879984,100.72510685012772
Ara 2,pitch_263616198,pitch,76258.08568047812,55520.21999879984,27.07725264577566
Ara 2,pitch_674658117,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_1091018722,pitch,79686.14802499508,55520.21999879984,19.21877671755855
Ara 2,pitch_793911112,pitch,73175.28855170804,55520.21999879984,36.854351647942906
Ara 2,pitch_886655690,pitch,70138.10184817865,55520.21999879984,49.93351261700996
Ara 2,pitch_674658108,pitch,68909.98036464362,55520.21999879984,56.45842469750175
Ara 2,pitch_993486534,pitch,64049.70522683628,55520.21999879984,91.79263218690802
Orozo,University of Abuja,university,51063.444136963975,73458.5859375,445.02597714559744
Orozo,University of Abuja Teaching Hospital,hospital,62042.59634147587,73458.5859375,148.44543291835637
Orozo,Kuje Stadium,stadium,40080.484123462375,73458.5859375,1334.6557299906046
Orozo,Talek Hospital,hospital,17160.96435971635,73458.5859375,13205.393634557882
Orozo,park_813356568,park,86402.83307926696,73458.5859375,12.990180966999421
Orozo,park_813356569,park,86402.83307926696,73458.5859375,12.990180966999421
Orozo,park_808298029,park,116730.7458409788,73458.5859375,0.6258794399736751
Orozo,park_843331799,park,60579.15101982515,73458.5859375,171.83968320705148
Orozo,park_843331763,park,60398.57909567118,73458.5859375,174.97081003306369
Orozo,park_843331796,park,60553.22505335643,73458.5859375,172.2857722080901
Orozo,park_843331795,park,60553.22505335643,73458.5859375,172.2857722080901
Orozo,park_843331774,park,60464.02568680368,73458.5859375,173.82942478933165
Orozo,park_843331830,park,60561.0741250894,73458.5859375,172.15059692659096
Orozo,park_843331790,park,60459.139524609716,73458.5859375,173.91438141959551
Orozo,park_843331798,park,60616.21736221331,73458.5859375,171.2039153610302
Orozo,Secondary School  Sheretti,school,15721.886631659458,73458.5859375,15249.292791021473
Orozo,Customary Court Kabusa,courthouse,15804.569295311228,73458.5859375,15123.727395759506
Orozo,Kabusa Area Court,courthouse,14188.804583146244,73458.5859375,17775.859562562564
Orozo,Kabusa Community Secondary School,school,15378.016674149247,73458.5859375,15782.790276149039
Orozo,Waru Health Centre,clinic,9352.096647360871,73458.5859375,28832.756694893546
Orozo,Waru Health Centre,clinic,9408.255300204988,73458.5859375,28671.28963051887
Orozo,Waru Health Centre,clinic,9408.255300204988,73458.5859375,28671.28963051887
